id_juego,nombre,idioma,ambito,nombre_empresa,precio,registro,url,descripcion,videos,ficha_pdf 
27,"Maleta ""SMED""",Español,Comercial,LeanBox,Contactar,NO,http://leanbox.es/maleta-smed/,La Maleta SMED es un juego que reproduce un cambio de utillaje de una máquina. Permite profundizar en la metodología SMED y 5S.,NA,
28,La Fábrica de Papel,Español,Comercial,LeanBox,Contactar,NO,http://leanbox.es/la-fabrica-de-papel/,"El juego de La Fábrica de Papel simula una fábrica dedicada a la transformación de hojas de papel, desde el suministro de materia prima hasta la entrega al cliente. Tiene como objetivo dar consciencia los beneficios de una organización por células d...",NA,
29,"Maleta ""Kanban""",Español,Comercial,LeanBox,Contactar,NO,http://leanbox.es/maleta-kanban/,"La Maleta Kanban permite que los participantes entiendan cómo funciona realmente el Kanban mediante la simulación de un Sumerpercado Kanban. Además, aprenderán a gestionar almacenes desde una concepción de flujo ""pull"".",NA,
30,La Torre,Español,Comercial,LeanBox,Contactar,NO,https://leanbox.es/aprende-jugando/la-torre/,El juego del Concurso La Torre plantea un concurso de ideas a los participantes. Estos competirán entre sí de forma individual y posteriormente por equipos. Muestra las ventajas del trabajo en equipo y fomenta la creatividad de los participantes.,NA,
31,Cafetería El Lío,Español,Comercial,LeanBox,Contactar,NO,http://leanbox.es/cafeteria-el-lio/,El juego de la Cafetería Lío pone a los participantes en el papel de los camareros de una cafetería llena de clientes con prisa y que necesitan una factura. Por cada ronda se aplicará cada una de las 5S para que los participantes vean la evolución d...,NA,
32,La Gamba y El Guisante,Español,Comercial,LeanBox,Contactar,NO,http://leanbox.es/la-gamba-y-el-guisante/,"La Gamba y el Guisante simula una cadena de suministro desde el proveedor, pasando por la fábrica hasta el cliente final del supermercado. Se desarrolla en varias rondas en donde los participantes deben organizar la cadena de suministro e ir mejorándo...",NA,
33,Life Savers Game,"Español, Neerlandés",Comercial,Lifesavergame.nl,Contactar,SI,https://atos.net/es/2016/comunicados-de-prensa-es_2016_04_05/es-pr-2016_04_05_01,Life Savers Game es un juego de simulación creado por Atos con el fin de aumentar la concienciación sobre la seguridad de los empleados y la capacidad de reacción ante los riesgos laborables. Reproduce escenarios en los que se presentan riesgos en el ...,NA,
34,Alter Training Master,"Español, Inglés",Comercial,Kaneda Games,Contactar,SI,http://www.kaneda-games.com/?page_id=15#prettyphoto[/fusion_builder_column][fusion_builder_column row_column_index=,Alter Training Master es un videojuego serious game que pretende preparar a los trabajadores de una empresa en la resolución de conflictos laborables. Consta con más de 30 conflictos extraídos de conflctos reales dónde se puede apreciar el trato entr...,NA,
35,Implexa,Español,Comercial,Implexa,Contactar,SI,http://arodriguez.blogs.upv.es/implexa-juego-multijugador-de-simulacion-logistica-parte-1/,"Implexa es un juego multijugador en tiempo real de simulación logística diseñado con el objetivo de que los alumnos aprendan divirtiéndose con algunos de los conceptos básicos de la logística: suppy chain, coordinación cliente-proveedor, etc.",NA,
36,The Bottleneck Game,"Alemán, Francés, Inglés",Gratuito,NA,NA,NO,http://www.agilecoach.net/coach-tools/bottleneck-game/,"The Bottleneck Game permite al usuario experimentar cómo los ""Cinco Pasos de Enfoque"" de la Teoría de las Restricciones rápidamente dejan claro dónde y cómo mejorar los procesos. Juega con técnicas Lean y Agile en una simulación y aplica las técn...",NA,
37,The Lean-STAR Game,Inglés,Gratuito,NA,NA,NO,http://tastycupcakes.org/2017/04/the-lean-star-game/,"The Lean-STAR Game consiste en ir construyendo por rondas estrellas por piezas pasando de un WIP muy alto a, en la última ronda, un WIP muy bajo. Permite explicar las desventajas de trabajar mediante un inventario de trabajo en proceso (WIP).",NA,
38,Scrum Penny Game,Inglés,Gratuito,NA,NA,NO,http://www.scrum-breakfast.com/2010/03/scrum-value-simulation.html,"The Scrum Value Simulation enseña la importancia de trabajar con lotes pequeños y cómo de esta manera se optimiza el proceso. Los participantes se dividirán en clientes, jefes del cliente, trabajadores y expertos en eficiencia. El proceso consiste e...",NA,
39,Mr Happy Face,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2010/11/mr-happy-face-showing-difference.html,Mr Happy Face permite contrastar los sistemas de push y pull. Varios equipos compiten entre sí creando cuantro tipos diferentes de caras felices con pedazos de cartulina cumpliendo los requisitos del cliente. Se aplicarán los sistemas push y pull en ro...,NA,
40,Tuckman Game,Inglés,Gratuito,NA,NA,NO,https://martijnvanasseldonk.com/tuckman-game/,"The Tuckman Game intenta simular las diferentes fases que experimenta un equipo de trabajo, desde la formación hasta la disolución. De esta forma permite dar una visión de las ventajas de formar un equipo Scrum.",NA,
41,Tarjetas de Fiesta,Español,Gratuito,NA,NA,NO,http://www.exyge.eu/blog/metodologias/de-fiesta-con-lean/,"En la actividad Tarjetas de Fiesta los participantes tendrán que fabricar tarjetas de invitación mediante una seire de pasos establecidos. En la primera parte fabricarán bajo el método ""batch & queue"" y en la segunda mediante ""one piece flow"". Esto ...",NA,
42,Scrum Card Game,"Alemán, Español, Inglés, Italiano",Comercial,Scrumcardgame,Gratis,SI,https://scrumcardgame.com/scrum-card-game-rules/,"The Scrum Card Game es un juego simple, que permite a los jugadores experimentar el trabajo en sprints de Scrum y trae a discusión muchas preguntas y temas que ocurren en la vida real mientras se trabaja en un equipo de Scrum. Esta experiencia facilita ...",NA,
43,El Juego del nombre en multitarea,Español,Gratuito,NA,NA,NO,http://www.scrummanager.net/blog/wp-content/uploads/2011/12/Multitasking-Name-Game_ESP.pdf,En el juego del Nombre en Multitarea (The Multitasking Name Game) se pide al usuario que escriba una serie de nombres mediante diferentes caminos y tome los tiempos. Se comprobará cómo el trabajo mediante multitarea puede acarrear inconvenientes en el ...,NA,
44,Roll Snakes eyes to win,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2011/04/kanban-game-roll-snake-eyes-to-win.html,"El juego Roll Snake Eyes to Win está diseñado para que los trabajadores tomen consciencia del valor de Kanban en el desarrollo de productos. Mediante un conjunto de dados, los usuarios tendrán que ir pasando estos de una estación a otra bajo una seri...",NA,
45,MIT DICE Game,Inglés,Gratuito,NA,NA,NO,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012/lecture-videos/MIT16_660JIAP12_3-2.pdf,The MIT DICE Game tiene como objetivo que el usuario tome consciencia de la importancia que tiene la variabilidad en el rendimiento de un proceso.,NA,
46,The Scrum Ball point game,Español,Gratuito,NA,NA,NO,http://giovannycifuentes.com/the-ball-point-game-fabrica-de-pelotas/,"The Ball Point Game es un popular juego Lean que pretende introducir el sistema Scrum a los participantes, facilitar el trabajo en equipo, la adaptación y la mejora continua. El juego consiste en pasar entre los jugadores el mayor número de pelotas a l...",NA,
47,La Herramienta Lean de Toyota,Español,Gratuito,NA,NA,NO,https://jucarlos.wordpress.com/2017/09/05/la-herramienta-de-lean-estrategico-con-la-que-toyota-cambio-las-reglas-del-juego/,Artículo de Juan Carlos Moral en el que explica cómo Toyota consiguió aumentar su productividad mediante un sistema de diseño de sus piezas novedoso hasta la fecha.,NA,
48,The Card Drop Exercise,Inglés,Gratuito,NA,NA,NO,https://media.moresteam.com/university/downloads/RTY_Card_Drop_Instructions.pdf,"The Card Drop Exercise es una simulación que se usa para explicar el Rendimiento de procesamiento laminado (RTY) empleado en las seis sigma. El ejercicio es rápido y fácil de realizar, y requiere de materiales mínimos.",NA,
49,Push-line / Pull-line,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2010/04/push-line-pull-line.html,"Pequeño juego diseñado para desarrolladores de software ya que, demuestra los principios de ""push"" frente a ""pull"". Además, muestra claramente los principios Lean hacia un entorno Kaizen.",NA,
50,Frog Factory Kanban Game,Inglés,Gratuito,NA,NA,NO,https://agilealliance.org/wp-content/uploads/2016/01/Frog-Factory-Kanban-experience.pdf,The Frog Factory es una simulación Lean Kanban. Consta de 5 rondas de seis minutos cada una y consite en la construcción de una rana de papel.,NA,
51,Paperwork Simulation,Inglés,Gratuito,NA,NA,NO,https://mn.gov/bms-stat/assets/paperwork_simulation_packet.pdf,"La simulación muestra la diferencia entre el procesamiento de lotes mediante ""one piece flow"". Los participantes se dividen en varios grupos y deben de ir procesando hojas de papel por lotes.",NA,
52,The Pizza Game,Inglés,Gratuito,NA,NA,NO,https://www.agile42.com/en/training/kanban-pizza-game/,"The Pizza Game enseña a los participantes cómo pasar de un proceso existente a un sistema Kanban, cómo visualizarlo y cómo modificarlo. Mediante papel, los usuarios tendrán que formar un trozo de pizza bajo unas especificaciones y unas limitaciones.",NA,
53,Scrum LEGO City,Inglés,Gratuito,NA,NA,NO,https://www.agile42.com/en/training/scrum-lego-city/,"The Scrum Lego City pone a prueba sus participantes para que, mediante LEGO, sean capaces de diseñar y construir una ciudad (edificios, automóviles y entornos naturales) bajo unos criterios específicos.",NA,
54,Business Value Game,Inglés,Comercial,agile42,4.76,SI,https://www.agile42.com/en/business-value-game/,Bussines Value Game es una herramienta para estimar el valor comercial de desarrollo de software. El objetivo consiste en la priorización de las características a través de su valor comercial.,NA,
55,Planning Poker,Inglés,Comercial,agile42,4.76,SI,https://www.agile42.com/en/planning-poker/,Planning poker es una técnica de estimación que permite calcular el esfuerzo o el tamaño relativo de las tareas de desarrollo de software.,NA,
56,Lean Bicycle Factory Game,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2010/07/lean-bicycle-factory-game.html,Lean Bicycle Factory Game es un juego de descarga gratuita que simula el proceso de fabricación de una bicicleta. El usuario puede detectar oportunidades de mejora durante las 5 rondas.,NA,
57,Red Bead Experiment,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2010/09/red-bead-experiment.html,Read Bead Experiment representa los problemas que puede suceder en un entorno de trabajo. Es una herramienta de enseñanza que se utiliza principalmente en la fabricación o instrucción en gestión de la calidad.,NA,
58,Lip dub,Español,Gratuito,NA,NA,NO,http://www.yumanyi.es/Lip_Dub.html,"Lip Dub es una coreografía en vídeo musical en grupo que se desarrolla sincronizando labios, gestos y movimientos de una canción popular. Una opción de actividad de team building para tu empresa.",NA,
141,PlayBrighter,Inglés,Gratis,Play Brighter,NA,SI,http://playbrighter.com/,"Se asignan “misiones” a los alumnos/as en los juegos y para conseguirlas deben progresar respondiendo satisfactoriamente a las preguntas creadas y/o seleccionadas por el profesor/a. Al completar la misión, el alumnado recibe una moneda especial que ...",NA,
59,Olimpiadas empresariales,Español,Gratuito,NA,NA,NO,https://teambuilding-zaragoza.weebly.com/olimpiadas-locas.html,"Perdidos en la luna tiene como objetivo mostrar a los participantes de las ventajas de la colaboración y la participación entre todos, así como desarrollar estrategias para llegar a acuerdos de grupo.",NA,
60,Egg Drop,Inglés,Gratuito,NA,NA,NO,http://www.freshtracks.co.uk/free-team-building/free-team-building-activity-egg-drop/,"Egg Drop es una actividad team building que hace que los equipos trabajen juntos, piensen creativamente y administren su tiempo. Se pide a los participantes que, con materiales limitados, hagan una estructura que evite que se caiga el huevo.",NA,
61,The DICE Game(s),Inglés,Gratuito,NA,NA,NO,https://public.wsu.edu/~engrmgmt/holt/em530/Docs/DiceGames.htm,"The DICE Game(s) es una versión del juego MIT DICE Game, pero incluye más variantes. El objetivo es mostrar cómo cada proceso de un sistema de fabricación está relacionado y depende de los procesos anteriores y posteriores.",NA,
62,Lean Cup Factory,Inglés,Gratuito,NA,NA,NO,https://norulesjustwords.wordpress.com/2012/02/22/lean-cup-factory/,"El juego Lean Cup Factory pretende mostrar a los participantes que el éxito de un proyecto suele conllevar varios fracasos previos. Además, aprenderán a construir con calidad, analizar y optimizar procesos y cooperar.",NA,
63,The Porsche JIT Game,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2011/07/porsche-jit-game-beer-game-or-lean-box.html,"The Porsche JIT Game es un juego ""lean-box"" similar al Juego de la Cerveza pero más simple y fácil de administrar. Este sencillo juego muestra la diferencia entre la producción push y pull, con materiales baratos.",NA,
64,The Lean Dot Game,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2011/10/lean-dot-game-stick-it-to-man.html,"The Dot Game es una pequeña gran simulación más sencilla que Mr Happy Face y mucho más ligera que Penny Game. En The Dot Game solamente se necesitan posits de colores para poder enseñar las herramientas como mapeo de flujo, 8 desperdicios ...",NA,
65,Bears in Space,Inglés,Gratuito,NA,NA,NO,https://www.stat.auckland.ac.nz/~iase/publications/2/Topic2n.pdf,"Bears in Space es un divertido juego de entrenamiento de six sigma, en donde, mediante una catapulta y unos ositos de goma se consigue medir la variabilidad y la importancia de la aleatorización.",NA,
66,Lean Bucket Brigade Game,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2012/04/lean-bucket-brigade-game.html,"Lean Bucket Brigade Game es un juego que propone, mediante un vídeo, un método muy útil cuando se tiene un flujo de trabajo desequilibrado.",NA,
67,Snowflakes Game,Inglés,Gratuito,NA,NA,NO,http://tastycupcakes.org/2012/05/lean-startup-snowflakes/,"Snowflakes Game es un juego lean sencillo y diferente al resto. Diseñado para empresas lean start-ups que fabrican un producto creativo, como el desarrollo de software o una empresa con un gran enfoque al cliente.",NA,
68,The Marshmallow Challenge,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2012/12/the-marshmallow-challenge-and-pdca-cycle.html,"The Mashmallow Challenge es un juego de trabajo en equipo que enseña no sólo cómo colaborar en equipo, sino que, además demuestra que los equipos funcionan bien bajo un método iterativo.",NA,
69,The 5S Shapes Game,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2013/01/the-5s-shapes-game-whats-missing.html,En The Shapes Gae un entrenador japonés nos muestra en un vídeo un juego en equipo sobre las 5S.,NA,
70,The Multitasking Game,Inglés,Gratuito,NA,NA,NO,http://open-site.org/blog/the-multitask-test/game.php#,The Multitasking Game es un prqueño cuestionario que pone a prueba al usuario pulsando varias teclas a la vez para demostrar su capacidad a la hora de realizar multitareas.,NA,
71,The White Albatross,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2015/01/story-telling-facilitating-teams-and.html,"The White Albatross no es un juego team-building, sino un ejercicio de narración de historias para formar líderes de eventos kaizen que sepan dirigir un equipo.",NA,
72,The Fast and Furious activity,Inglés,Gratuito,NA,NA,NO,http://agilepmandcoaching.blogspot.com.es/2017/06/the-fast-and-furious-and-other-fs.html,The Fast and Furious activity es un juego por equipos con el objetivo de entrenar a sus participantes en la recopilación de información en un tiempo limitado.,NA,
73,Core Scrum Game,Inglés,Gratuito,NA,NA,NO,http://tastycupcakes.org/2017/12/core-scrum-game/,Core Scrum Game es una actividad interactiva y colaborativa de clasificación de tarjetas con el objetivo de que los particiantes aprendan las diferencias entre lo que sí es Scrum y lo que no.,NA,
74,The Product Owner Challenge Game,Inglés,Gratuito,NA,NA,NO,http://product-owner-challenge-game.weebly.com/the-game.html,The Product Owner Challenge Game se trata de un juego con bloques de Lego que tiene como objetivo ilustrar cómo funciona la gestión ágil de proyectos. Demuestra que el Product Owner que deja al equipo tomar decisiones consigue mejores resultados quue ...,NA,
75,Scrum Knowsy,Inglés,Gratuito,NA,NA,NO,http://www.scrumknowsy.com/,"Scrum Knowsy es un juego gratuito diseñado para el juego en equipo, dejando que los propios miembros del equipo desafíen el conocimiento de cada uno sobre Scrum.",NA,
76,Abecedario y Números - Juego Multitarea,Español,Gratuito,NA,NA,NO,https://proyectosagiles.org/2011/05/01/abecedario-numeros-simulacion-organizaciones-multitarea/,"Este juego simula una organización con personas trabajando en varios proyectos de manera simultánea. El objetivo es demostrar que, para ser más eficientes, es necesario un rediseño organizativo con equipos más pequeños que contengan todas las capac...",NA,
77,"The Core Beliefs of Waterfall, Agile and Lean",Inglés,Gratuito,NA,NA,NO,https://www.360pmo.com/core-beliefs-waterfall-agile-lean/,"Esta actividad de aprendizaje no sólo mojora el conocimiento básico de Waterfall, Agile y Lean, sino que también ayuda a los participates a identificar las diferencias entre los principios de los sistemas de Waterfall, Agile y Lean.",NA,
78,The Kanban Donut Game,Inglés,Gratuito,NA,NA,NO,http://tastycupcakes.org/2017/10/deep-dive-into-kanban-essentials-using-donut-making/,The Kanban Donut Game es un juego por equipos en donde los participantes van apriendiendo los principios Kanban a medida que avanzan en el proceso de fabricación de donuts con cartulinas y plastilina,NA,
79,The Large Scale Scrum Dynamics Game,Inglés,Gratuito,NA,NA,NO,http://tastycupcakes.org/2017/09/the-large-scale-scrum-less-dynamics-game/,"Los participantes de dividen en equipos. La tarea a realizar consiste en crear el texto ""LeSS = Scrum"" mediante posits. A cada equipo se le asocia un color de posit. El juego pretende enseñar a los participantes que el diseño organizacional que utiliza...",NA,
80,The League of Estraordinarily Shortsighted Agile Superleades,Inglés,Gratuito,NA,NA,NO,http://agilesuperleaders.info/,En esta actividad deberás relacionar a los integrantes de tu equipo con la lista de superhéroes. Cada superhéroe tiene un superpoder y una debilidad. El objetivo es que las personas del equipo conozcan sus habilidades y también sus defectos a la hor...,NA,
81,May the Force be with you Retrospective,Inglés,Gratuito,NA,NA,NO,http://tastycupcakes.org/2017/05/may-the-4th-force-be-with-you-retrospective/,"Be the Force with you Retrospective es una actividad basada en un enfoque ágil y scrum cuyo objetivo es hacer incapié en los valores de equipo: respeto, compromiso, etc, además de crear elementos para mejorar el equipo y maximizar los que funcionan.",NA,
82,X-Matrix Jigsaw Puzzle,Español,Gratuito,NA,NA,NO,https://availagility.co.uk/resources/games/x-matrix-jigsaw-puzzle/,X-Matrix Jigsaw Puzzle es un breve ejercicio que tiene la intención de darle la oprtunidad a los participantes de trabajar mediante un pequeño puzle con una Matriz-X y así ver sus beneficios en el trabajo.,NA,
83,Failure Memory Game,Inglés,Gratuito,NA,NA,NO,http://tastycupcakes.org/2017/02/failure-memory-game/,Faillure memory game es un juego para aprender de los fallos y experimentar cómo una organización puede beneficiarse de la cultura del fallo. Consiste en ir volteando tarjetas boca abajo hasta encontrar las parejas.,NA,
84,The Coffe Game,Inglés,Gratuito,NA,NA,NO,http://tastycupcakes.org/2016/10/the-coffee-game/,The Coffe Game permite a los jugadores experimentar el papel de ser un Product Owner (Propietario del producto). Los jugadores organizados por equipos tratarán de crear el mayor valor comercial para la organización a la vez que mantienen contentos a lo...,NA,
85,Nexus Zoo,Inglés,Gratuito,NA,NA,NO,https://www.scrum.org/resources/nexus-guide,"Nexus Zoo es un simulador de desarrollo de productos. Pone a los equipos en una situación en la que necesitan convertir sus características individuales en un incremento colectivo. Deben resolver cómo gestionar las dependencias entre los equipos, así...",NA,
86,Scrum Simulation with Minecraft,Inglés,Gratuito,NA,NA,NO,http://gameagile.com/scrum-simulation-with-minecraft/,"""Este libro electrónico gratuito presenta un enfoque paso a paso para realizar una simulación de Scrum completa con Minecraft. Una actividad de aprendizaje excepcional para la enseñanza de Scrum. Es gratis de usar y adaptar, con licencia bajo Creative...",NA,
87,Judgement Juggler,Inglés,Gratuito,NA,NA,NA,http://tastycupcakes.org/2016/06/judgement-juggler/,Judgement Juggler es un juego de aprendizaje con una pelota basado en The Penny Game. Presenta estimaciones basadas en defectos y dependencias del proceso para simular más de cerca el desarrollo en un entorno empresarial.,NA,
88,The Agile Mindset Workshop,Inglés,Gratuito,NA,NA,SI,http://www.carolinagorosito.com/2016/04/13/agile-mindset-a-workshop/,"The Agile Mindset Workshop es juego en el que todos los jugadores participan y comparten sus opiniones, pensamientos, ideas y usos sobre el manifiesto ágil y sus principios. El objetivo del juego es fomentar una metodología y un pensamiento ágil basa...",NA,
89,First Things First?,Inglés,Gratuito,NA,NA,NO,http://tastycupcakes.org/2016/06/first-things-first/,"Basado en ""Los siete hábitos de la gente altamente efectivas"" de Stephen Covey, este ejercicio visual y táctil puede ayudar a un equipo a centrarse en lo más importante. Además promueve la alineación entre los miembros del equipo y el liderazgo (Pro...",NA,
90,Traditional vs Agile Approach of Managingi Work,Inglés,Gratuito,NA,NA,NO,http://tastycupcakes.org/2016/05/5668/,"Este juego simula cascadas y entornos de trabajo ágiles. El Objetivo de la actividad, es que, en la sesión de debate, los participantes puedan reconocer las diferentes estrucutas de equipo. Para ello, se dividen en equipos, cada uno con un rol distinto...",NA,
91,Agile Jenga Testing Game,Inglés,Gratuito,NA,NA,NO,https://nandalankalapalli.wordpress.com/2011/09/15/game-test-small-test-often/,"Agile Jenga Testing Game promueve a que los participantes usen un enfoque ágil con sprints frente a un enfoque de programación por pares. Un jugador será el desarrollador que, mediante bloques, realizará una estructura. Un segundo jugador será el te...",NA,
